"ES_ID","Paper_ID","Group_ID","Journal_ID","Pub_year","rho","rho2","urbmax","urbmin","total_nests","variance","source","death_cause","partial_predation","Nest_type","Egg_number","Fake_eggs","Fake_proportion","Nest_position","Nest_height","Nest_openness","Study_days","Study_year","Median_year","Continent","Species","Species_latin","Zr","Zr2","VZr"
"ES035","P040","G031","ORNFEN",2001,0.1435836,0.1528883,5,4,313,0.003225806,"percentage","no","alive","nat",NA,0,NA,"elevated",3,"cup",12,"1994-1998",1996,"eur","Greenfinch","Carduelis_chloris",0.14458270660233,0.154096537347538,0.0032258064516129
"ES036","P041","G032","WIJOOR",2015,-0.5093498,-0.5093498,4,1,83,0.0125,"numbers","yes","pred","art",2,0,0,"ground",0,"cup",3,"2013",2013,"nam",NA,NA,-0.561851395387214,-0.561851395387214,0.0125
"ES037","P044","G035","WIJOOR",2007,-0.009425182,0.05921405,5,1,127,0.008064516,"DPR","no","alive","nat",NA,0,NA,"elevated",4.05,"cup",26,"2003-2004",2003.5,"nam","Wood_thrush","Hylocichla_mustelina",-0.00942546110725769,0.0592834034443282,0.00806451612903226
"ES038","P045","G034","OIKOS",2003,0.2012577,0.1385398,3,1,31,0.035714286,"numbers","no","alive","nat",NA,0,NA,"ground",0,"cup",23,"2001-2002",2001.5,"nam","Rufous-crowned_sparrow","Aimophila_ruficeps",0.204043002335436,0.139436493380704,0.0357142857142857
"ES039","P045","G034","OIKOS",2003,0.1210886,0.2201928,3,1,78,0.013333333,"numbers","no","alive","nat",NA,0,NA,"elevated",NA,"cup",32,"2001-2002",2001.5,"nam","Wrentit","Chamaea_fasciata",0.121685680139019,0.223858724192874,0.0133333333333333
"ES040","P045","G034","OIKOS",2003,0.1350402,-0.08212405,3,1,121,0.008474576,"numbers","no","alive","nat",NA,0,NA,"elevated",NA,"cup",25,"2001-2002",2001.5,"nam","California_towhee","Pipilo_crissalis",0.135870157963497,-0.0823094254313594,0.00847457627118644
"ES041","P045","G034","OIKOS",2003,0.3569466,0.3549721,3,1,45,0.023809524,"numbers","no","alive","nat",NA,0,NA,"ground",0,"cup",23,"2001-2002",2001.5,"nam","Spotted_towhee","Pipilo_maculatus",0.373382269274538,0.371121285510846,0.0238095238095238
"ES042","P049","G036","FOLZOO",1995,-0.2367272,-0.2367272,3,1,95,0.010869565,"figure","yes","pred","art",3,0,0,"elevated",1.75,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.241304155548432,-0.241304155548432,0.0108695652173913
"ES043","P049","G036","FOLZOO",1995,-0.2053425,-0.2053425,3,1,89,0.011627907,"figure","yes","pred","art",3,0,0,"elevated",1.75,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.208303916843917,-0.208303916843917,0.0116279069767442
"ES044","P049","G036","FOLZOO",1995,-0.1637417,-0.1637417,3,1,86,0.012048193,"figure","yes","pred","art",3,0,0,"ground",0,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.165229079897536,-0.165229079897536,0.0120481927710843
"ES045","P049","G036","FOLZOO",1995,-0.1469019,-0.1469019,3,1,117,0.00877193,"figure","yes","pred","art",3,0,0,"ground",0,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.147972519634033,-0.147972519634033,0.0087719298245614
"ES046","P049","G036","FOLZOO",1995,-0.1119391,-0.1119391,3,1,103,0.01,"figure","yes","pred","art",3,0,0,"ground",0,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.112410192701039,-0.112410192701039,0.01
"ES047","P049","G036","FOLZOO",1995,-0.1102443,-0.1102443,3,1,119,0.00862069,"figure","yes","pred","art",3,0,0,"ground",0,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.110694214758257,-0.110694214758257,0.00862068965517241
"ES048","P049","G036","FOLZOO",1995,-0.05720232,-0.05720232,3,1,241,0.004201681,"figure","yes","pred","art",3,0,0,"elevated",1.75,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.0572648334499748,-0.0572648334499748,0.00420168067226891
"ES049","P049","G036","FOLZOO",1995,-0.05530099,-0.05530099,3,1,46,0.023255814,"figure","yes","pred","art",3,0,0,"ground",0,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.0553574674878284,-0.0553574674878284,0.0232558139534884
"ES050","P049","G036","FOLZOO",1995,-0.0524811,-0.0524811,3,1,77,0.013513514,"figure","yes","pred","art",3,0,0,"ground",0,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.0525293620817291,-0.0525293620817291,0.0135135135135135
"ES051","P049","G036","FOLZOO",1995,-0.04052884,-0.04052884,3,1,188,0.005405405,"figure","yes","pred","art",3,0,0,"elevated",1.75,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,-0.040551052609301,-0.040551052609301,0.00540540540540541
"ES052","P049","G036","FOLZOO",1995,-0.02244754,-0.02244754,3,1,154,0.006622517,"figure","yes","pred","art",3,0,0,"elevated",4,"hole",NA,"1989-1992",1990.5,"eur",NA,NA,-0.0224513115193269,-0.0224513115193269,0.00662251655629139
"ES053","P049","G036","FOLZOO",1995,-0.01292315,-0.01292315,3,1,104,0.00990099,"figure","yes","pred","art",3,0,0,"elevated",4,"hole",NA,"1989-1992",1990.5,"eur",NA,NA,-0.0129238694944071,-0.0129238694944071,0.0099009900990099
"ES054","P049","G036","FOLZOO",1995,-0.0106677,-0.0106677,3,1,111,0.009259259,"figure","yes","pred","art",3,0,0,"elevated",4,"hole",NA,"1989-1992",1990.5,"eur",NA,NA,-0.010668104688424,-0.010668104688424,0.00925925925925926
